DISTRICT	ST_NM
Jodhpur	Rajasthan
Jorhat	Assam
Junagadh	Gujarat
Jyotiba Phule Nagar	Uttar Pradesh
Kachchh	Gujarat
Kaimur (bhabua)	Bihar
Kaithal	Haryana
Kalahandi	Odisha
Kamrup	Assam
Kamrup Metropolitan	Assam
Kancheepuram	Tamil Nadu
Kandhamal	Odisha
Kangra	Himachal Pradesh
Uttar Bastar Kanker	Chhattisgarh
Kannauj	Uttar Pradesh
Kanniyakumari	Tamil Nadu
Kannur	Kerala
Kanpur Dehat	Uttar Pradesh
Kanpur Nagar	Uttar Pradesh
Kansiram Nagar	Uttar Pradesh
Kapurthala	Punjab
Karbi Anglong	Assam
Kargil	Jammu & Kashmir
Karimganj	Assam
Karimnagar	Andhra Pradesh
Karnal	Haryana
Karur	Tamil Nadu
Kasaragod	Kerala
Kathua	Jammu & Kashmir
Katihar	Bihar
Katni	Madhya Pradesh
Kaushambi	Uttar Pradesh
Kendrapara	Odisha
Kendujhar	Odisha
Khagaria	Bihar
Khammam	Andhra Pradesh
Kheda	Gujarat
Kheri	Uttar Pradesh
Khordha	Odisha
Khunti	Jharkhand
Kinnaur	Himachal Pradesh
Kiphire	Nagaland
Kishanganj	Bihar
Kishtwar	Jammu & Kashmir
Koch Bihar	West Bengal
Kodagu	Karnataka
Kodarma	Jharkhand
Kohima	Nagaland
Kokrajhar	Assam
Kolar	Karnataka
Kolasib	Mizoram
Kolhapur	Maharashtra
Kolkata	West Bengal
Kollam	Kerala
Koppal	Karnataka
Koraput	Odisha
Korba	Chhattisgarh
Koriya	Chhattisgarh
Kota	Rajasthan
Kottayam	Kerala
Kozhikode	Kerala
Krishna	Andhra Pradesh
Krishnagiri	Tamil Nadu
Kulgam	Jammu & Kashmir
Kullu	Himachal Pradesh
Kupwara	Jammu & Kashmir
Kurnool	Andhra Pradesh
Kurukshetra	Haryana
Kurung Kumey	Arunanchal Pradesh
Kushinagar	Uttar Pradesh
Lahul & Spiti	Himachal Pradesh
Lakhimpur	Assam
Lakhisarai	Bihar
Lalitpur	Uttar Pradesh
Latehar	Jharkhand
Latur	Maharashtra
Lawangtlai	Mizoram
Leh (ladakh)	Jammu & Kashmir
Lohardaga	Jharkhand
Lohit	Arunanchal Pradesh
Longleng	Nagaland
Lower Dibang Valley	Arunanchal Pradesh
Lower Subansiri	Arunanchal Pradesh
Lucknow	Uttar Pradesh
Ludhiana	Punjab
Lunglei	Mizoram
Madhepura	Bihar
Madhubani	Bihar
Madurai	Tamil Nadu
Maharajganj	Uttar Pradesh
Mahasamund	Chhattisgarh
Mahbubnagar	Andhra Pradesh
Mahe	Puducherry
Mahendragarh	Haryana
Mahesana	Gujarat
Mahoba	Uttar Pradesh
Mainpuri	Uttar Pradesh
Malappuram	Kerala
Maldah	West Bengal
Malkangiri	Odisha
Mamit	Mizoram
Mandi	Himachal Pradesh
Mandla	Madhya Pradesh
Mandsaur	Madhya Pradesh
Mandya	Karnataka
Mansa	Punjab
Marigaon	Assam
Mathura	Uttar Pradesh
Mau	Uttar Pradesh
Mayurbhanj	Odisha
Medak	Andhra Pradesh
Meerut	Uttar Pradesh
Mewat	Haryana
Mirzapur	Uttar Pradesh
Moga	Punjab
Mokokchung	Nagaland
Moradabad	Uttar Pradesh
Morena	Madhya Pradesh
Muktsar	Punjab
Mumbai	Maharashtra
Mumbai Suburban	Maharashtra
Munger	Bihar
Murshidabad	West Bengal
Muzaffarnagar	Uttar Pradesh
Muzaffarpur	Bihar
Mysore	Karnataka
Nabarangapur	Odisha
Nadia	West Bengal
Nagaon	Assam
Nagaur	Rajasthan
Nagpur	Maharashtra
Nainital	Uttarakhand
Nalanda	Bihar
Nalbari	Assam
Nalgonda	Andhra Pradesh
Namakkal	Tamil Nadu
Nanded	Maharashtra
Nandurbar	Maharashtra
Narayanpur	Chhattisgarh
Narmada	Gujarat
Narsimhapur	Madhya Pradesh
Nashik	Maharashtra
Navsari	Gujarat
Nawada	Bihar
Nayagarh	Odisha
Neemuch	Madhya Pradesh
Sri Potti Sriramulu Nellore	Andhra Pradesh
New Delhi	NCT of Delhi
Nizamabad	Andhra Pradesh
North 24 Parganas	West Bengal
Dima Hasao	Assam
North Goa	Goa
North Tripura	Tripura
Nuapada	Odisha
Osmanabad	Maharashtra
Pakur	Jharkhand
Palakkad	Kerala
Palamu	Jharkhand
Pali	Rajasthan
Palwal	Haryana
Panch Mahals	Gujarat
Panchkula	Haryana
Panipat	Haryana
Panna	Madhya Pradesh
Papum Pare	Arunanchal Pradesh
Parbhani	Maharashtra
Pashchim Champaran	Bihar
Pashchim Medinipur	West Bengal
Pashchimi Singhbhum	Jharkhand
Patan	Gujarat
Pathanamthitta	Kerala
Patiala	Punjab
Patna	Bihar
Perambalur	Tamil Nadu
Peren	Nagaland
Phek	Nagaland
Pilibhit	Uttar Pradesh
Pithoragarh	Uttarakhand
Porbandar	Gujarat
Prakasam	Andhra Pradesh
Pratapgarh	Rajasthan
Pratapgarh	Uttar Pradesh
Pudukkottai	Tamil Nadu
Pulwama	Jammu & Kashmir
Punch	Jammu & Kashmir
Pune	Maharashtra
Purba Champaran	Bihar
Purba Medinipur	West Bengal
Purbi Singhbhum	Jharkhand
Puri	Odisha
Purnia	Bihar
Puruliya	West Bengal
Rae Bareli	Uttar Pradesh
Raichur	Karnataka
Raigarh	Chhattisgarh
Raigarh	Maharashtra
Raipur	Chhattisgarh
Raisen	Madhya Pradesh
Rajouri	Jammu & Kashmir
Rajgarh	Madhya Pradesh
Rajkot	Gujarat
Rajnandgaon	Chhattisgarh
Rajsamand	Rajasthan
Ramanagara	Karnataka
Ramanathapuram	Tamil Nadu
Ramban	Jammu & Kashmir
Ramgarh	Jharkhand
Rampur	Uttar Pradesh
Ranchi	Jharkhand
Rangareddy	Andhra Pradesh
Ratlam	Madhya Pradesh
Ratnagiri	Maharashtra
Rayagada	Odisha
Reasi	Jammu & Kashmir
Rewa	Madhya Pradesh
Rewari	Haryana
Ri Bhoi	Meghalaya
Rohtak	Haryana
Rohtas	Bihar
Rudraprayag	Uttarakhand
Rupnagar	Punjab
Sabar Kantha	Gujarat
Sagar	Madhya Pradesh
Saharanpur	Uttar Pradesh
Saharsa	Bihar
Sahibganj	Jharkhand
Sahibzada Ajit Singh Nagar	Punjab
Saiha	Mizoram
Salem	Tamil Nadu
Samastipur	Bihar
Samba	Jammu & Kashmir
Sambalpur	Odisha
Sangli	Maharashtra
Sangrur	Punjab
Sant Kabir Nagar	Uttar Pradesh
Sant Ravi Das Nagar(bhadohi)	Uttar Pradesh
Saraikela-kharsawan	Jharkhand
Saran (chhapra)	Bihar
Satara	Maharashtra
Satna	Madhya Pradesh
Sehore	Madhya Pradesh
Senapati	Manipur
Seoni	Madhya Pradesh
Serchhip	Mizoram
Shahdol	Madhya Pradesh
Shahid Bhagat Singh Nagar	Punjab
Shahjahanpur	Uttar Pradesh
Shajapur	Madhya Pradesh
Sheikhpura	Bihar
Sheohar	Bihar
Sheopur	Madhya Pradesh
Shimla	Himachal Pradesh
Shimoga	Karnataka
Shivpuri	Madhya Pradesh
Shrawasti	Uttar Pradesh
Shupiyan	Jammu & Kashmir
Sivasagar	Assam
Siddharth Nagar	Uttar Pradesh
Sidhi	Madhya Pradesh
Sikar	Rajasthan
Simdega	Jharkhand
Sindhudurg	Maharashtra
Singrauli	Madhya Pradesh
Sirmaur	Himachal Pradesh
Sirohi	Rajasthan
Sirsa	Haryana
Sitamarhi	Bihar
Sitapur	Uttar Pradesh
Sivaganga	Tamil Nadu
Siwan	Bihar
Solan	Himachal Pradesh
Solapur	Maharashtra
Subarnapur	Odisha
Sonbhadra	Uttar Pradesh
Sonipat	Haryana
Sonitpur	Assam
South 24 Parganas	West Bengal
South Garo Hills	Meghalaya
South Goa	Goa
South Tripura	Tripura
South West	NCT of Delhi
Srikakulam	Andhra Pradesh
Srinagar	Jammu & Kashmir
Sultanpur	Uttar Pradesh
Sundargarh	Odisha
Supaul	Bihar
Surat	Gujarat
Surendranagar	Gujarat
Surguja	Chhattisgarh
Tamenglong	Manipur
Tarn Taran	Punjab
Tawang	Arunanchal Pradesh
Tehri Garhwal	Uttarakhand
Thane	Maharashtra
Thanjavur	Tamil Nadu
The Dangs	Gujarat
The Nilgiris	Tamil Nadu
Theni	Tamil Nadu
Thiruvallur	Tamil Nadu
Thiruvananthapuram	Kerala
Thiruvarur	Tamil Nadu
Thoothukkudi	Tamil Nadu
Thoubal	Manipur
Thrissur	Kerala
Tikamgarh	Madhya Pradesh
Tinsukia	Assam
Tirap	Arunanchal Pradesh
Tiruchirappalli	Tamil Nadu
Tirunelveli	Tamil Nadu
Tiruppur	Tamil Nadu
Tiruvannamalai	Tamil Nadu
Tonk	Rajasthan
Tuensang	Nagaland
Tumkur	Karnataka
Udaipur	Rajasthan
Udalguri	Assam
Udhampur	Jammu & Kashmir
Udham Singh Nagar	Uttarakhand
Udupi	Karnataka
Ujjain	Madhya Pradesh
Ukhrul	Manipur
Umaria	Madhya Pradesh
Una	Himachal Pradesh
Unnao	Uttar Pradesh
Upper Siang	Arunanchal Pradesh
Upper Subansiri	Arunanchal Pradesh
Uttar Dinajpur	West Bengal
Uttara Kannada	Karnataka
Uttarkashi	Uttarakhand
Vadodara	Gujarat
Vaishali	Bihar
Valsad	Gujarat
Varanasi	Uttar Pradesh
Vellore	Tamil Nadu
Vidisha	Madhya Pradesh
Viluppuram	Tamil Nadu
Virudunagar	Tamil Nadu
Visakhapatnam	Andhra Pradesh
Vizianagaram	Andhra Pradesh
Warangal	Andhra Pradesh
Wardha	Maharashtra
Washim	Maharashtra
Wayanad	Kerala
West Garo Hills	Meghalaya
West Godavari	Andhra Pradesh
West Kameng	Arunanchal Pradesh
West Khasi Hills	Meghalaya
West Nimar	Madhya Pradesh
West Siang	Arunanchal Pradesh
West Tripura	Tripura
Wokha	Nagaland
Yadgir	Karnataka
Yavatmal	Maharashtra
Zunheboto	Nagaland
Kabeerdham	Chhattisgarh
Yamunanagar	Haryana
Jind	Haryana
Dausa	Rajasthan
Karauli	Rajasthan
Sawai Madhopur	Rajasthan
Arwal	Bihar
Jehanabad	Bihar
Nagappattinam	Tamil Nadu
Karaikal	Puducherry
Puducherry	Puducherry
Yanam	Puducherry
Tapi	Gujarat
Nicobar	Andaman & Nicobar Island
South Andaman	Andaman & Nicobar Island
North & Middle Andaman	Andaman & Nicobar Island
Lakshadweep	Lakshadweep
